Title,Price
"Apple iPhone 15 (Black, 128 GB)","₹65,999"
"Apple iPhone 15 (Blue, 128 GB)","₹65,999"
"Apple iPhone 15 (Pink, 128 GB)","₹65,999"
"Apple iPhone 15 (Green, 128 GB)","₹65,999"
"Apple iPhone 15 Plus (Black, 128 GB)","₹75,999"
"Apple iPhone 15 (Black, 256 GB)","₹75,999"
"Apple iPhone 13 (Blue, 128 GB)","₹52,999"
"Apple iPhone 13 (Starlight, 128 GB)","₹52,999"
"Apple iPhone 15 Plus (Blue, 128 GB)","₹75,999"
"Apple iPhone 15 Plus (Pink, 128 GB)","₹75,999"
"Apple iPhone 14 (Starlight, 128 GB)","₹58,999"
"Apple iPhone 15 Plus (Green, 128 GB)","₹75,999"
"Apple iPhone 14 Plus (Starlight, 128 GB)","₹66,999"
"Apple iPhone 13 (Pink, 128 GB)","₹52,999"
"Apple iPhone 14 Plus (Purple, 128 GB)","₹67,999"
"Apple iPhone 14 (Purple, 128 GB)","₹58,999"
"Apple iPhone 15 (Green, 256 GB)","₹75,999"
"Apple iPhone 13 (Green, 128 GB)","₹52,999"
"Apple iPhone 15 Plus (Blue, 256 GB)","₹85,999"
"Apple iPhone 14 (Blue, 128 GB)","₹58,999"
"Apple iPhone 14 (Midnight, 128 GB)","₹58,999"
"Apple iPhone 13 (Midnight, 128 GB)","₹52,999"
"Apple iPhone 15 (Blue, 256 GB)","₹75,999"
"Apple iPhone 15 (Yellow, 128 GB)","₹65,999"
